,Prsn_Gndr_ID,time_bracket,time_segment,Crash_Norm_Annual
0,0.0,afternoon,before,0.4164068704326873
1,0.0,afternoon,entry,0.37765343139032853
2,0.0,afternoon,exit,0.4754198022145689
3,0.0,afternoon,re-entry,0.3790200148540411
4,0.0,day,before,0.2918474467184297
5,0.0,day,entry,0.26888743824567235
6,0.0,day,exit,0.29972739171900614
7,0.0,day,re-entry,0.27865357315127287
8,0.0,morning,before,0.25512435605021894
9,0.0,morning,entry,0.2475148710670937
10,0.0,morning,exit,0.25808140875471147
11,0.0,morning,re-entry,0.23378583238268305
12,0.0,night,before,0.7010801085760735
13,0.0,night,entry,0.6027903399950059
14,0.0,night,exit,0.6327783133733264
15,0.0,night,re-entry,0.5078517427172674
16,1.0,afternoon,before,5.229503393393929
17,1.0,afternoon,entry,5.421378160189619
18,1.0,afternoon,exit,6.17166856806504
19,1.0,afternoon,re-entry,5.898761423101369
20,1.0,day,before,5.431418186433682
21,1.0,day,entry,5.578641022471443
22,1.0,day,exit,6.163119212344035
23,1.0,day,re-entry,5.6598908897274445
24,1.0,morning,before,2.8419287913991305
25,1.0,morning,entry,3.1319553114501493
26,1.0,morning,exit,3.5873135084221532
27,1.0,morning,re-entry,3.4199857744861846
28,1.0,night,before,2.9802492018781805
29,1.0,night,entry,3.1852365548255497
30,1.0,night,exit,3.4354627628852823
31,1.0,night,re-entry,3.270499180169915
32,2.0,afternoon,before,4.340742286498013
33,2.0,afternoon,entry,4.101606870583866
34,2.0,afternoon,exit,4.628834695715353
35,2.0,afternoon,re-entry,4.344903404985084
36,2.0,day,before,4.521891694275261
37,2.0,day,entry,4.358389269321704
38,2.0,day,exit,4.5772439733756665
39,2.0,day,re-entry,4.434365447331641
40,2.0,morning,before,2.3190809340956635
41,2.0,morning,entry,2.381125528497546
42,2.0,morning,exit,2.5083626233583582
43,2.0,morning,re-entry,2.4124019955823917
44,2.0,night,before,1.5865080858785616
45,2.0,night,entry,1.612492473361587
46,2.0,night,exit,1.7110613634268446
47,2.0,night,re-entry,1.6628192119120984
